"Source","Target","Citation.Count","Source.Type","Source.Year","Edge.Type"
30606103,26442529,0,"Identification",2019,"Identification"
30606103,26230526,0,"Identification",2019,"Identification"
30606103,26076956,0,"Identification",2019,"Identification"
30606103,25583365,0,"Identification",2019,"Identification"
30606103,25234927,0,"Identification",2019,"Identification"
30606103,24512684,0,"Identification",2019,"Identification"
30606103,23446348,0,"Identification",2019,"Identification"
30606103,20802226,0,"Identification",2019,"Identification"
30715276,28143578,0,"Database",2019,"Database"
30715276,27255916,0,"Database",2019,"Database"
30715276,23446348,0,"Database",2019,"Database"
30715276,29338875,0,"Database",2019,"Database"
30715276,25234927,0,"Database",2019,"Database"
30715276,27365365,0,"Database",2019,"Database"
30715276,29741596,0,"Database",2019,"Database"
30715276,24339831,0,"Database",2019,"Database"
30715276,26669964,0,"Database",2019,"Database"
30715276,26450965,0,"Database",2019,"Database"
30715276,27725737,0,"Database",2019,"Database"
30715276,29036403,0,"Database",2019,"Database"
30715276,27543790,0,"Database",2019,"Database"
30715276,28315753,0,"Database",2019,"Database"
30715276,29106456,0,"Database",2019,"Database"
30849979,23446348,0,"Other",2019,"Other"
30849979,27543790,0,"Other",2019,"Other"
30849979,29036403,0,"Other",2019,"Other"
30849979,27350239,0,"Other",2019,"Other"
30849979,27365365,0,"Other",2019,"Other"
30849979,30660194,0,"Other",2019,"Other"
30053237,27739534,2,"Other",2018,"Other"
30285109,23446348,4,"Other",2019,"Other"
30285109,26028480,4,"Other",2019,"Other"
30476305,24297251,1,"Other",2019,"Other"
30476305,26424084,1,"Other",2019,"Other"
29140525,26450965,1,"Other",2018,"Other"
27899615,24297251,31,"Other",2017,"Other"
30692147,23446348,0,"Identification",2019,"Identification"
30692147,27739534,0,"Identification",2019,"Identification"
30692147,25242744,0,"Identification",2019,"Identification"
30893614,27725737,0,"Database",2019,"Database"
30893614,26556385,0,"Database",2019,"Database"
30893614,29338875,0,"Database",2019,"Database"
30893614,25583365,0,"Database",2019,"Database"
30893614,27350239,0,"Database",2019,"Database"
30893614,28334140,0,"Database",2019,"Database"
30893614,23446348,0,"Database",2019,"Database"
30893614,20802226,0,"Database",2019,"Database"
30893614,29036403,0,"Database",2019,"Database"
30893614,27365365,0,"Database",2019,"Database"
30893614,29322436,0,"Database",2019,"Database"
30893614,30660194,0,"Database",2019,"Database"
30893614,28854373,0,"Database",2019,"Database"
31068132,25583365,0,"Other",2019,"Other"
31068132,23446348,0,"Other",2019,"Other"
31068132,25544350,0,"Other",2019,"Other"
31068132,25242744,0,"Other",2019,"Other"
31068132,27068474,0,"Other",2019,"Other"
30916068,23446348,0,"Other",2019,"Other"
30916068,24811520,0,"Other",2019,"Other"
30916068,25583365,0,"Other",2019,"Other"
30916068,25234927,0,"Other",2019,"Other"
30916068,27315811,0,"Other",2019,"Other"
30916068,27350239,0,"Other",2019,"Other"
30956140,25234927,1,"Identification",2019,"Identification"
31023147,23446348,0,"Database",2019,"Database"
31023147,26669964,0,"Database",2019,"Database"
31023147,27725737,0,"Database",2019,"Database"
31023147,28854373,0,"Database",2019,"Database"
31023147,25234927,0,"Database",2019,"Database"
31023147,24339831,0,"Database",2019,"Database"
31023147,26450965,0,"Database",2019,"Database"
31058278,23446348,0,"Database",2019,"Database"
31058278,24339831,0,"Database",2019,"Database"
31058278,27543790,0,"Database",2019,"Database"
31058278,29036403,0,"Database",2019,"Database"
31058278,28315753,0,"Database",2019,"Database"
31058278,27739910,0,"Database",2019,"Database"
31058278,27365365,0,"Database",2019,"Database"
31058278,25583365,0,"Database",2019,"Database"
31058278,28968841,0,"Database",2019,"Database"
31058278,26450965,0,"Database",2019,"Database"
31055837,25242744,0,"Identification",2019,"Identification"
31055837,23446348,0,"Identification",2019,"Identification"
31055837,24811520,0,"Identification",2019,"Identification"
31055837,26076956,0,"Identification",2019,"Identification"
31055837,26442529,0,"Identification",2019,"Identification"
31055837,20802226,0,"Identification",2019,"Identification"
31055837,25544350,0,"Identification",2019,"Identification"
31055837,24512684,0,"Identification",2019,"Identification"
31055837,28334140,0,"Identification",2019,"Identification"
31055837,26556385,0,"Identification",2019,"Identification"
31055837,26873924,0,"Identification",2019,"Identification"
31055837,27929140,0,"Identification",2019,"Identification"
31055837,27350239,0,"Identification",2019,"Identification"
31055837,27365365,0,"Identification",2019,"Identification"
31055837,29039477,0,"Identification",2019,"Identification"
31055837,28265491,0,"Identification",2019,"Identification"
31055837,28334396,0,"Identification",2019,"Identification"
31055837,28594838,0,"Identification",2019,"Identification"
31055837,26657634,0,"Identification",2019,"Identification"
31055837,26657634,0,"Identification",2019,"Identification"
31055837,29556495,0,"Identification",2019,"Identification"
31055837,27739534,0,"Identification",2019,"Identification"
31077303,27725737,0,"Identification",2019,"Identification"
31077303,25544350,0,"Identification",2019,"Identification"
31077303,25242744,0,"Identification",2019,"Identification"
