"Source","Target","Citation.Count","Source.Type","Source.Year"
30416748,27119352,0,"Paper",2018
30416748,27484176,0,"Paper",2018
30416748,25242144,0,"Paper",2018
30416748,28249903,0,"Paper",2018
30416748,26998750,0,"Paper",2018
30416748,25242744,0,"Paper",2018
30416748,28344082,0,"Paper",2018
30416748,27445124,0,"Paper",2018
30416748,25070500,0,"Paper",2018
30416748,26861625,0,"Paper",2018
30414569,30414569,0,"Paper",2018
30414569,22319583,0,"Paper",2018
30414569,23249747,0,"Paper",2018
30414569,23446346,0,"Paper",2018
30414569,25242144,0,"Paper",2018
30414569,25242744,0,"Paper",2018
30413800,30413800,0,"Paper",2018
30412280,30412280,0,"Paper",2018
30411680,30411680,0,"Paper",2018
30410752,30410752,0,"Paper",2018
30410752,28287427,0,"Paper",2018
30410752,26052092,0,"Paper",2018
30410752,26138677,0,"Paper",2018
30410752,25583365,0,"Paper",2018
30410752,29044517,0,"Paper",2018
30410752,26171810,0,"Paper",2018
30410752,28344082,0,"Paper",2018
30410722,30410722,0,"Paper",2018
30410722,28443463,0,"Paper",2018
30410722,27986464,0,"Paper",2018
30410722,29240459,0,"Paper",2018
30410722,28618205,0,"Paper",2018
30410722,29760792,0,"Paper",2018
30410722,28980874,0,"Paper",2018
30410722,29349062,0,"Paper",2018
30410722,28130019,0,"Paper",2018
30410722,28206972,0,"Paper",2018
30410722,29762831,0,"Paper",2018
30410722,28657541,0,"Paper",2018
30410722,29103021,0,"Paper",2018
30410722,29911069,0,"Paper",2018
30405847,30405847,0,"Paper",2018
30405847,28655641,0,"Paper",2018
30405847,28443463,0,"Paper",2018
30405847,26649774,0,"Paper",2018
30405847,29037220,0,"Paper",2018
30405847,28744405,0,"Paper",2018
30405847,27997903,0,"Paper",2018
30405847,28634583,0,"Paper",2018
30405847,29137225,0,"Paper",2018
30405847,27429839,0,"Paper",2018
30405847,29156822,0,"Paper",2018
30405847,28003761,0,"Paper",2018
30405847,28535767,0,"Paper",2018
30405847,29074849,0,"Paper",2018
30405847,29144509,0,"Paper",2018
30405847,29072698,0,"Paper",2018
30405788,30405788,0,"Paper",2018
30405788,27050392,0,"Paper",2018
30405788,28969093,0,"Paper",2018
30405788,29096676,0,"Paper",2018
30405788,28794202,0,"Paper",2018
30405788,29240459,0,"Paper",2018
30405788,27465405,0,"Paper",2018
30405788,29045858,0,"Paper",2018
30405788,29245064,0,"Paper",2018
30405788,29263845,0,"Paper",2018
30405788,28903484,0,"Paper",2018
30405788,29255366,0,"Paper",2018
30405788,29223555,0,"Paper",2018
30405788,29415990,0,"Paper",2018
30405788,29241190,0,"Paper",2018
30404220,30404220,0,"Paper",2018
30404220,24811520,0,"Paper",2018
30404220,26802132,0,"Paper",2018
30404220,26052092,0,"Paper",2018
30404220,27050392,0,"Paper",2018
30404220,22319583,0,"Paper",2018
30404220,29036326,0,"Paper",2018
30404220,29386015,0,"Paper",2018
30404220,26541409,0,"Paper",2018
30404220,24039610,0,"Paper",2018
30404220,26873092,0,"Paper",2018
30404220,23249747,0,"Paper",2018
30404220,23446346,0,"Paper",2018
30404220,25242144,0,"Paper",2018
30404220,26553571,0,"Paper",2018
30404220,25544350,0,"Paper",2018
30404220,26669964,0,"Paper",2018
30404220,27021280,0,"Paper",2018
30404220,25449546,0,"Paper",2018
30404220,26861625,0,"Paper",2018
30403899,30403899,0,"Paper",2019
30403769,30403769,0,"Paper",2018
30403259,30403259,0,"Paper",2018
30403259,26802132,0,"Paper",2018
30403259,27986464,0,"Paper",2018
30403259,26052092,0,"Paper",2018
30403259,27050392,0,"Paper",2018
30403259,25689795,0,"Paper",2018
30403259,23446348,0,"Paper",2018
30403259,24014594,0,"Paper",2018
30403259,25543144,0,"Paper",2018
30403259,25746834,0,"Paper",2018
30403259,25624062,0,"Paper",2018
30403259,24609083,0,"Paper",2018
30403259,27903978,0,"Paper",2018
30403259,25404635,0,"Paper",2018
30403259,28535767,0,"Paper",2018
30403259,26931159,0,"Paper",2018
30403259,23249747,0,"Paper",2018
30403259,23446346,0,"Paper",2018
30403259,25242144,0,"Paper",2018
30403259,28018143,0,"Paper",2018
30403259,26657152,0,"Paper",2018
30403259,28143578,0,"Paper",2018
30403259,25749389,0,"Paper",2018
30400981,30400981,0,"Paper",2018
30400981,27642589,0,"Paper",2018
30400981,29698681,0,"Paper",2018
30400981,27050392,0,"Paper",2018
30400981,23446348,0,"Paper",2018
30400981,24014594,0,"Paper",2018
30400981,26848835,0,"Paper",2018
30400981,29588350,0,"Paper",2018
30400981,29928432,0,"Paper",2018
30400981,27725737,0,"Paper",2018
30400981,29689350,0,"Paper",2018
30400981,29440731,0,"Paper",2018
30400981,28903484,0,"Paper",2018
30400981,28685964,0,"Paper",2018
30400981,28984197,0,"Paper",2018
30400981,28738961,0,"Paper",2018
30400981,29277177,0,"Paper",2018
30400981,27040497,0,"Paper",2018
30400981,28343871,0,"Paper",2018
30400981,29366790,0,"Paper",2018
30400981,29636867,0,"Paper",2018
30400981,29863250,0,"Paper",2018
30400981,28958934,0,"Paper",2018
30400981,26873092,0,"Paper",2018
30400981,29628502,0,"Paper",2018
30400981,29891014,0,"Paper",2018
30400981,29620202,0,"Paper",2018
30400981,29969631,0,"Paper",2018
30400981,29223555,0,"Paper",2018
30400981,29722168,0,"Paper",2018
30400981,29241190,0,"Paper",2018
30400981,29726904,0,"Paper",2018
30400981,29372377,0,"Paper",2018
30400981,23716491,0,"Paper",2018
30400981,25253891,0,"Paper",2018
30400981,25070500,0,"Paper",2018
30400981,29550475,0,"Paper",2018
30400981,26861625,0,"Paper",2018
30400273,30400273,0,"Paper",2018
30400273,26201400,0,"Paper",2018
30400273,27754374,0,"Paper",2018
30400273,26802132,0,"Paper",2018
30400273,29684477,0,"Paper",2018
30400273,28412345,0,"Paper",2018
30400273,30201567,0,"Paper",2018
30400273,29486652,0,"Paper",2018
30400273,29228601,0,"Paper",2018
30400273,27050392,0,"Paper",2018
30400273,30078734,0,"Paper",2018
30400273,25921068,0,"Paper",2018
30400273,28358055,0,"Paper",2018
30400273,29133306,0,"Paper",2018
30400273,28991235,0,"Paper",2018
30400273,29322443,0,"Paper",2018
30400273,29858062,0,"Paper",2018
30400273,23446348,0,"Paper",2018
30400273,29037607,0,"Paper",2018
30400273,26057830,0,"Paper",2018
30400273,26848835,0,"Paper",2018
30400273,27531932,0,"Paper",2018
30400273,30057200,0,"Paper",2018
30400273,28418376,0,"Paper",2018
30400273,28444238,0,"Paper",2018
30400273,24427167,0,"Paper",2018
30400273,28842720,0,"Paper",2018
30400273,22319583,0,"Paper",2018
30400273,30277664,0,"Paper",2018
